Description	Code
Write a function to return the area of a right angle triangle	"

def cal_rt_triangle_area(base: float, height: float) -> float:
<TAB>if base and height:
        return (base * height) / 2
<TAB>else:
        return None
"
Write a python program to Implement Merge sort and print the sorted list for the below list	"

def merge_sort(alist, start, end):
<TAB>
<TAB>if end - start > 1:
        mid = (start + end) // 2
        merge_sort(alist, start, mid)
        merge_sort(alist, mid, end)
        merge_list(alist, start, mid, end)


def merge_list(alist, start, mid, end):
<TAB>left = alist[start:mid]
<TAB>right = alist[mid:end]
<TAB>k = start
<TAB>i = 0
<TAB>j = 0
<TAB>while (start + i < mid and mid + j < end):
        if (left[i] <= right[j]):
            alist[k] = left[i]
            i = i + 1
        else:
            alist[k] = right[j]
            j = j + 1
        k = k + 1
<TAB>if start + i < mid:
        while k < end:
            alist[k] = left[i]
            i = i + 1
            k = k + 1
<TAB>else:
        while k < end:
            alist[k] = right[j]
            j = j + 1
            k = k + 1


alist = [2, 3, 5, 6, 4, 5]
merge_sort(alist, 0, len(alist))
print('Sorted list: ', end='')
print(alist)
"
Write a program to filter the numbers in a list which are divisible by a given number	"my_list = [11, 45, 74, 89, 132, 239, 721, 21]


num = 3
result = list(filter(lambda x: (x % num == 0), my_list))


print(f""Numbers divisible by {num} are {result}"")
"
Write a python program to print all the values in a dictionary.	"d = {'a': 1, 'b': 2, 'c': 3, 'd': 4}
print(d.values())
"
write a python program uses else with for loop	"seq = ""abcde""
for k in seq:
<TAB>if k == ""f"":
        break
else:
<TAB>print(""f Not Found!"")
"
Write a program which will create a new string by appending s2 in the middle of s1 given two strings, s1 and s2	"def appendMiddle(s1, s2):
<TAB>middleIndex = int(len(s1) / 2)
<TAB>middleThree = s1[:middleIndex:] + s2 + s1[middleIndex:]
<TAB>print(""After appending new string in middle"", middleThree)


appendMiddle(""Ault"", ""Kelly"")
"
write a python function which is decorated on another function	"def myDecorator(func):
<TAB>def new_func(n):
        return '$' + func(n)
<TAB>return new_func


@ myDecorator
def myFunction(a):
<TAB>return(a)


print(myFunction('100'))
"
Write a function to return reverse of a list	"def reverse_list(l1: list) -> list:
<TAB>return l1[::-1]
"
write a python program to delete an element from a list	"

list = ['a', 'bc', 'd', 'e']
element = 'bc'
list.remove(element)
"
53 write a python function which checks if a number is a perfect square	"import math


def is_perfect_square(num):
<TAB>sq_root = round(math.sqrt(num))
<TAB>if num == sq_root ** 2:
        return True
<TAB>else:
        return False
"
Write a program to take an average of given scores	"s1 = 50
s2 = 77
s3 = 87


print('Avg score is', (s1 + s2 + s3) / 3)
"
91 write a program to check eligibility for voting	"

age = int(input(""Enter Age : ""))


if age >= 18:
<TAB>status = ""Eligible""
else:
<TAB>status = ""Not Eligible""


print(""You are "", status, "" for Vote."")
"
Write a function to calculate the moment of inertia of a sphere of mass M and radius R	"def cal_mi_sphere(mass: float, radius: float) -> float:
<TAB>return (7 / 5) * mass * (radius**2)
"
write a function to find length of list	"def tuple_lenght(t):
<TAB>return len(t)
"
write a program for round for integers	"integer = 18
print(f""Round off value : {round(integer , -1)}"")
"
write a python function to add user provided list and return the result	"def addlist(list1, list2):
<TAB>result = list1 + list2
<TAB>return result


answer = addlist(['cat', 'dog'], ['samsung', 'oneplus'])
"
49. python function for finding the logarithmic value of a number	"def log(x):
<TAB>

<TAB>return math.log(x)
"
Write a function to adds two lists element wise only if numbers are even	"def adds_listevenelements(l1: list, l2: list):
<TAB>return [i + j for i, j in zip(l1, l2) if i * j % 2 == 0]
"
Write a Python Program to Count Number of Lowercase Characters in a String and print the result	"string = ""SriNAtH""
count = 0
for i in string:
<TAB>if(i.islower()):
        count = count + 1
print(""The number of lowercase characters is:"")
print(count)
"
Convert Decimal to Binary, Octal and Hexadecimal	"dec = 344
print(""The decimal value of"", dec, ""is:"")
print(bin(dec), ""in binary."")
print(oct(dec), ""in octal."")
print(hex(dec), ""in hexadecimal."")
"
write a python program to convert raw string integer inputs to integers	"

str_input = ""1 2 3 4 5 6""


int_input = map(int, str_input.split())


print(list(int_input))
"
Write a Python program to check whether a list contains a sublist and print True or False.	"

def is_Sublist(l, s):
<TAB>sub_set = False
<TAB>if s == []:
        sub_set = True
<TAB>elif s == l:
        sub_set = True
<TAB>elif len(s) > len(l):
        sub_set = False

<TAB>else:
        for i in range(len(l)):
            if l[i] == s[0]:
                n = 1
                while (n < len(s)) and (l[i + n] == s[n]):
                    n += 1

                if n == len(s):
                    sub_set = True

<TAB>return sub_set


a = [2, 4, 3, 5, 7]
b = [4, 3]
c = [3, 7]
print(is_Sublist(a, b))
print(is_Sublist(a, c))
"
Write a python program to print dimension in centimeter to feet	"cm = 50
feet = 0.0328 * cm
print(""The dimension in feet "", round(feet, 2))
"
Write a python program using list comprehension to produce and print the list  [[2],[3],[4],[3],[4],[5],[4],[5],[6]]	"

start_num = 2
repeat_count = 3
max_offset = 3
list4 = [[start_num + i + j]
         for j in range(max_offset) for i in range(repeat_count)]
print(list4)
"
58 write a python program to extract Kth index elements from Dictionary Value list and print it	"

test_dict = {""Gfg"": [4, 7, 5], ""Best"": [8, 6, 7], ""is"": [9, 3, 8]}
print(""The original dictionary is : "" + str(test_dict))
K = 1


s = []
for key, value in test_dict.items():
<TAB>s.append(value[K])
print(s)
"
Write a Python function that shifts the character of strings	"

def char_shift(string, shift_count):

<TAB>return """".join([chr(ord(x) + shift_count) if (ord(x) + shift_count) <= 122 else chr(96 + (ord(x) + shift_count) - 122) for x in string])
"
write a Python program to find the minute at which the minute hand and hour hand coincide	"

def find_time(h1):

<TAB>theta = 30 * h1
<TAB>print(""("", end="""")
<TAB>print((theta * 2), ""/ 11) minutes"")


h1 = 3
find_time(h1)
"
Concatenation of two List	"my_list1 = [4, 3, 2, 9, 10, 44, 1]
my_list2 = [5, 6, 2, 8, 15, 14, 12]
print(f""Sum of two list:,{my_list1+my_list2}"")
"
write a program that prints dictionaries having key of the first dictionary and value of the second dictionary	"test_dict1 = {""tsai"": 20, ""is"": 36, ""best"": 100}
test_dict2 = {""tsai2"": 26, ""is2"": 19, ""best2"": 70}
keys1 = list(test_dict1.keys())
vals2 = list(test_dict2.values())
res = dict()
for idx in range(len(keys1)):
<TAB>res[keys1[idx]] = vals2[idx]
print(""Mapped dictionary : "" + str(res))
"
Write a Python function to calculate factorial of a given no using closer	"

def fact():
<TAB>cache = {0: 1, 1: 1}

<TAB>def calc_fib(n):
        if n not in cache:
            print(f'Calculating fact({n})')
            cache[n] = calc_fib(n - 1) * n
        return cache[n]
<TAB>return calc_fib
"
write a Python program to print even Numbers in a List	"

list1 = [10, 21, 4, 45, 66, 93]
even_nos = [num for num in list1 if num % 2 == 0]
print(""Even numbers in the list: "", even_nos)
"
write a program for  Extending a sublist	"

a = [[2, 4, 6, 8, 10], [3, 6, 9, 12, 15], [4, 8, 12, 16, 20]]
a[0].extend([12, 14, 16, 18])
print(a)
"
Write a python function to convert a list of strings to equivalent character array using itertools	"import itertools


def extract_characters(input_list):
<TAB>return [char_val for char_val in itertools.chain.from_iterable(input_list)]
"
Python program to get the third side of right angled triangle from two given sides.	"def pythagoras(opposite_side, adjacent_side, hypotenuse):
<TAB>if opposite_side == str(""x""):
        return ""Opposite = "" + str(((hypotenuse ** 2) - (adjacent_side ** 2)) ** 0.5)
<TAB>elif adjacent_side == str(""x""):
        return ""Adjacent = "" + str(((hypotenuse ** 2) - (opposite_side ** 2)) ** 0.5)
<TAB>elif hypotenuse == str(""x""):
        return ""Hypotenuse = "" + str(((opposite_side ** 2) + (adjacent_side ** 2)) ** 0.5)
<TAB>else:
        return ""You know the answer!""


print(pythagoras(3, 4, 'x'))
print(pythagoras(3, 'x', 5))
print(pythagoras('x', 4, 5))
print(pythagoras(3, 4, 5))
"
write a python program to replace blank space to 1	"a = '1 0 0 1'
print(a.replace(' ', '1'))
"
write a python function to return count of number of vowels in a sentence	"def count_vowels(sentence):
<TAB>count = 0
<TAB>for letter in sentence:
        if letter in ""aeiouAEIOU"":
            count += 1
<TAB>return count
"
12. python function to return the cubes of a list of numbers	"def cube(n):
<TAB>return [i * i * i for i in range(n)]
"
write a python function which takes sentence as input and remove vowels from a sentence	"

sentence = input(""Enter a sentence : "")


def fn(sentence):
<TAB>vowels = 'aeiou'
<TAB>return ''.join([l for l in sentence if l not in vowels])
"
47 write a python function that accepts a valid path and changes the current working directory	"import os


def change_dir(path):
<TAB>return os.chdir(path)
"
Write a function to calculate the kinetic energy of an object of mass m and velocity v	"def cal_ke(mass: float, velocity: float) -> float:
<TAB>return (mass * (velocity)**2) / 2
"
Write a Python Program to Check if a Date is Valid and Print the Incremented Date if it is	"

date = ""20/04/2021""
dd, mm, yy = date.split('/')
dd = int(dd)
mm = int(mm)
yy = int(yy)
if(mm == 1 or mm == 3 or mm == 5 or mm == 7 or mm == 8 or mm == 10 or mm == 12):
<TAB>max1 = 31
elif(mm == 4 or mm == 6 or mm == 9 or mm == 11):
<TAB>max1 = 30
elif(yy % 4 == 0 and yy % 100 != 0 or yy % 400 == 0):
<TAB>max1 = 29
else:
<TAB>max1 = 28
if(mm < 1 or mm > 12):
<TAB>print(""Date is invalid."")
elif(dd < 1 or dd > max1):
<TAB>print(""Date is invalid."")
elif(dd == max1 and mm != 12):
<TAB>dd = 1
<TAB>mm = mm + 1
<TAB>print(""The incremented date is: "", dd, mm, yy)
elif(dd == 31 and mm == 12):
<TAB>dd = 1
<TAB>mm = 1
<TAB>yy = yy + 1
<TAB>print(""The incremented date is: "", dd, mm, yy)
else:
<TAB>dd = dd + 1
<TAB>print(""The incremented date is: "", dd, mm, yy)
"
Write a python program to Read and print the Contents of a File	"

a = str(input(""Enter file name .txt extension:""))
file2 = open(a, 'r')
line = file2.readline()
while(line != """"):
<TAB>print(line)
<TAB>line = file2.readline()
file2.close()
"
"Define a function that can accept an integer number as input and print the ""It is an even number"" if the number is even, otherwise print ""It is an odd number""."	"def checkValue(n):
<TAB>if n % 2 == 0:
        print(""It is an even number"")
<TAB>else:
        print(""It is an odd number"")
"
Write a python function to find the area of a circle, whose radius is given	"

def findArea(r):
<TAB>PI = 3.142
<TAB>return PI * (r * r)
"
Write a program to compute the number of digits in multiplication of two given integers	"a, b = 312, 410
print(len(str(a * b)))
"
Choose given number of elements from the list with different probability	"import random
num1 = 5
numberList = [111, 222, 333, 444, 555]
print(random.choices(numberList, weights=(10, 20, 30, 40, 50), k=num1))
"
make sure all of dict's values are unique	"assert len(_dict) == len(set(_dict.values()))
reversed_dict = {v: k for k, v in _dict.items()}
print(reversed_dict)
"
Write a program to find the median among three given number	"x = 10
y = 20
z = 30
if y < x and x < z:
<TAB>print(x)
elif z < x and x < y:
<TAB>print(x)
elif z < y and y < x:
<TAB>print(y)
elif x < y and y < z:
<TAB>print(y)
elif y < z and z < x:
<TAB>print(z)
elif x < z and z < y:
<TAB>print(z)
"
write Python code to convert string to list	"

def Convert_1(string):
<TAB>li = list(string.split("" ""))
<TAB>return li


str1 = ""Geeks for Geeks""
print(Convert(str1))
"
28 write a program that return the first n numbers from a list	"

def sub_list(lst, ind):
<TAB>return lst[:ind]


print(sub_list([1, 2, 3, 4, 5, 56], 3))
"
write a program function to check if given words appear together in a list of sentence	"

def check(sentence, words):
<TAB>res = [all([k in s for k in words]) for s in sentence]
<TAB>return [sentence[i] for i in range(0, len(res)) if res[i]]
"
Write a function to calculate the total resistance of resistances in parallel in a given list	"def cal_total_res_in_parallel(res_list: list) -> float:
<TAB>return sum([1 / r for r in res_list])
"
Define a custom exception class which takes a string message as attribute.	"class MyError(Exception):
<TAB>def __init__(self, msg):
        self.msg = msg


error = MyError(""something wrong"")
"
write Python3 code to demonstrate Kth Non-None String from Rear using next() + list comprehension	"

test_list = ["""", """", ""Akshat"", ""Nikhil""]


print(""The original list : "" + str(test_list))
K = 2
test_list.reverse()
test_list = iter(test_list)
for idx in range(0, K):
<TAB>res = next(sub for sub in test_list if sub)


print(""The Kth non empty string from rear is : "" + str(res))
"
36 Write a  python function that returns the Highest Common Factor of two given numbers	"def calculate_hcf(x1, x2):
<TAB>if x1 == 0:
        return x2
<TAB>else:
        return hcf(x2 % x1, x1)
"
write a python program to replace blank space to 1	"def f12(x):
<TAB>yield x + 1
<TAB>print(""test"")
<TAB>yield x + 2


g = f12(9)
print(next(g))
"
write a python program that converts a octal number to octal and prints it	"octal_num = '17'
decimal_num = int(octal_num, 8)
print(decimal_num)
"
98 Write a Python program to multiply two integers without using the '*' operator in python.	"def multiply(x, y):
<TAB>if y < 0:
        return -multiply(x, -y)
<TAB>elif y == 0:
        return 0
<TAB>elif y == 1:
        return x
<TAB>else:
        return x + multiply(x, y - 1)
"
write a python program to multiply two list with list comprehensive	"l1 = [1, 2, 3]
l2 = [4, 5, 6]
print([x * y for x in l1 for y in l2])
"
generating a reliable secure random number	"import secrets
print(""Random integer number generated using secrets module is "")
number = secrets.randbelow(30)
print(number)
"
Python program to check for palindrom	"def isPalindrome(string):
<TAB>left_pos = 0
<TAB>right_pos = len(string) - 1

<TAB>while right_pos >= left_pos:
        if not string[left_pos] == string[right_pos]:
            return False
        left_pos += 1
        right_pos -= 1
<TAB>return True


print(isPalindrome('aza'))
"
write a python program to shuffle the items in a list and print it	"from random import shuffle
mylist = [1, 2, 3, 4, 5]
shuffle(mylist)
print(mylist)
"
18. python program to compare strings	"def compare_using_equals(n):
<TAB>a = 'a long string that is not intered' * 200
<TAB>b = 'a long string that is not intered' * 200
<TAB>for i in range(n):
        if a == b:
            pass
"
write a program to print the current date and time	"from datetime import datetime
now = datetime.now()
print(now)
"
Write a Python program that Given two Python sets, update first set with items that exist only in the first set and not in the second set	"set1 = {10, 20, 30}
set2 = {20, 40, 50}
print(set1.difference_update(set2))
"
write a python function to generate 6 digit OTP	"

import math
import random


def generateOTP():
<TAB>digits = ""0123456789""
<TAB>OTP = """"
<TAB>for i in range(6):
        OTP += digits[math.floor(random.random() * 10)]
<TAB>return OTP
"
Write a Python function to capitalizes the first letter of each word in a string	"def capitalize(text):
<TAB>return text.title()
"
write a program to sort the list in desending order	"data_list = [-5, -23, 5, 0, 23, -6, 23, 67]
new_list = []


while data_list:
<TAB>minimum = data_list[0]  
<TAB>for x in data_list:
        if x > minimum:
            minimum = x
<TAB>new_list.append(minimum)
<TAB>data_list.remove(minimum)


print(f'decending_order_list: {new_list}')
"
write a python function to count 'a's in the repetition of a given string 'n' times.	"def repeated_string(s, n):
<TAB>return s.count('a') * (n // len(s)) + s[:n % len(s)].count('a')
"
write a program to split a string into a list where each line is a list item	"txt = ""Thank you for the music\nWelcome to the jungle""
x = txt.splitlines()
print(x)
"
Write a function to return the curved surface area of a cone	"def cal_cone_curved_surf_area(slant_height, radius):
<TAB>pi = 3.14
<TAB>return pi * radius * slant_height
"
write a recursive python function to calculate sum of natural numbers upto n, where n is an argument	"def recursive_sum(n):
<TAB>if n <= 1:
        return n
<TAB>else:
        return n + recursive_sum(n - 1)
"
write a python function to perform random selection from itertools.combinations_with_replacement(iterable, r)	"def random_combination_with_replacement(iterable, r):
<TAB>import random
<TAB>pool = tuple(iterable)
<TAB>n = len(pool)
<TAB>indices = sorted(random.choices(range(n), k=r))
<TAB>return tuple(pool[i] for i in indices)
"
write a python function to find the factorial of the user provided number and print the result	"def findfactorial(num):
<TAB>factorial = 1
<TAB>if num < 0:
        print(""Sorry, factorial does not exist for negative numbers"")
<TAB>elif num == 0:
        print(""The factorial of 0 is 1"")
<TAB>else:
        for i in range(1, num + 1):
            factorial = factorial * i
        print(""The factorial of"", num, ""is"", factorial)


findfactorial(3)
"
Python3 code to demonstrate working of Extract String till Numeric Using isdigit() + index() + loop	"test_str = ""geeks4geeks is best""
print(""The original string is : "" + str(test_str))
temp = 0
for chr in test_str:
<TAB>if chr.isdigit():
        temp = test_str.index(chr)
print(""Extracted String : "" + str(test_str[0: temp]))
"
write a python function to swap first and last element of a list	"
def swapList(newList):
<TAB>newList[0], newList[-1] = newList[-1], newList[0]
<TAB>return newList


newList = [12, 35, 9, 56, 24]
print(swapList(newList))
"
32. Python Program to Convert String to Uppercase	"
string = input(""Please Enter your Own String : "")


string1 = string.upper()

print(""\nOriginal String in Lowercase  =  "", string)
print(""The Given String in Uppercase =  "", string1)
"
write a python function for binary search	"

def binary_search(arr, low, high, x):
<TAB>if high >= low:

        mid = (high + low) // 2
        if arr[mid] == x:
            return mid
        elif arr[mid] > x:
            return binary_search(arr, low, mid - 1, x)

        else:
            return binary_search(arr, mid + 1, high, x)
<TAB>else:
        return -1
"
Write a python program which accepts users first name and last name and print in reverse order with a space	"

first_name = input(""Enter your first name: "")
last_name = input(""Enter your last name: "")
print(last_name.strip() + "" "" + first_name.strip())
"
write Python3 code to demonstrate convert list of strings to list of tuples Using map() + eval	"

test_list = ['4, 1', '3, 2', '5, 3']
print(""The original list : "" + str(test_list))
res = list(map(eval, test_list))
print(""The list after conversion to tuple list : "" + str(res))
"
write a Python program to print positive numbers in a list	"list1 = [11, -21, 0, 45, 66, -93]
for num in list1:
<TAB>if num >= 0:
        print(num, end="" "")
"
write a python function to find the number of (i, j) pairs where i<j and ar[i]+ar[j] is divisible by k in a data list	"def divisible_sum_pairs(arr, k):
<TAB>count = 0
<TAB>n = len(arr)
<TAB>for i in range(n - 1):
        j = i + 1
        while j < n:
            if ((arr[i] + arr[j]) % k) == 0:
                count += 1
            j += 1
<TAB>return count


import math
"
Write a function to calculate the total resistance of resistances in series in a given list	"def cal_total_res_in_series(res_list: list) -> float:
<TAB>return sum(res_list)
"
69 write a program to randomly generate a list with 5 numbers, which are divisible by 5 and 7 , between 1 and 1000 inclusive.	"import random


print(random.sample([i for i in range(1, 1001) if i %
                     5 == 0 and i % 7 == 0], 5))
"
Please write assert statements to verify that every number in the list [2,4,6,8] is even.	"li = [2, 4, 6, 8]
for i in li:
<TAB>assert i % 2 == 0
"
51 function to print the source code of a function	"def print_so(f: ""Function name/class name/module""):
<TAB>from inspect import getsource
<TAB>print(getsource(f))
"
"72 write a program to print the running time of execution of ""1+1"" for 100 times."	"from timeit import Timer


t = Timer(""for i in range(100):1+1"")
print(t.timeit())
"
write a python function to find the average of two or more numbers and return the average	"

def average(*args):
<TAB>return sum(args, 0.0) / len(args)
"
write a list comprehension for number and its cube	"

l = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print([x**3 for x in l])
"
Write a program that computes the value of a+aa+aaa+aaaa with a given digit as the value of a.	"a = raw_input()
n1 = int(""%s"" % a)
n2 = int(""%s%s"" % (a, a))
n3 = int(""%s%s%s"" % (a, a, a))
n4 = int(""%s%s%s%s"" % (a, a, a, a))
print(n1 + n2 + n3 + n4)
"
Write a Python program to find the repeated items of a tuple	"tuplex = 2, 4, 5, 6, 2, 3, 4, 4, 7
count = tuplex.count(4)
print(count)
"
Write a function which can compute the factorial of a given numbers.	"def fact(x):
<TAB>if x == 0:
        return 1
<TAB>return x * fact(x - 1)


x = int(input())
print(fact(x))
"
write a python function to check if a string is palindrome or not and print the result	"def isPalindrome(s):
<TAB>if (s == s[::-1]):
        print(""Given string is palindrome"")
<TAB>else:
        print(""Given string is not palindrome"")


s = ""malayalam""
isPalindrome(s)
"
write a python function to calculate weighted average of two or more numbers	"

def weighted_average(nums, weights):
<TAB>return sum(x * y for x, y in zip(nums, weights)) / sum(weights)
"
write a python program to tokenise a string into words and print them	"

string = 'the sun is shining'


words = string.split()
print(words)
"
Write a python function that Counts the Number of Blank Spaces in a Text File	"def count_blank_space():
<TAB>fname = input(""file name:"")
<TAB>count = 0
<TAB>with open(fname, 'r') as f:
        for line in f:
            count += line.count(' ')
<TAB>return count
"
write a python function to check if a key exists in a dictionary	"

d = {'key1': 'value1', 'key2': 'value2', 'key3': 'value3', 'key4': 'value4'}


def is_key_present(x):
<TAB>if x in d:
        print('Key is present in the dictionary')
<TAB>else:
        print('Key is not present in the dictionary')
"
19 function to print ascii value of a character.	"def show_ascii(a: str):
<TAB>print(ord(a))
"
write a python program that prints every third character in a sentence	"sentence = 'the quick brown fox'
print(sentence[::3])
"
Write a function to remove a given date type elements from a list.	"

def removeDataType(li, dType):
<TAB>res = []
<TAB>for i in li:
        if not isinstance(i, dType):
            res.append(i)
<TAB>return res
"
write a python function to return the largest and smallest numbers in the given list and return None if the list is empty	"def largest_and_smallest(list_of_nums):
<TAB>if list_of_nums:
        return max(list_of_nums), min(list_of_nums)
<TAB>else:
        return
"
42. python function for finding the derivative of cosine angle	"def dcosine(angle):
<TAB>

<TAB>return -math.sin(angle)
"
usage of dictionary	"dict = {'Name': 'Zara', 'Age': 7, 'Class': 'First'}
print(""dict['Name']: "", dict['Name'])
print(""dict['Age']: "", dict['Age'])
"
Write a function to return the area of a rhombus	"def area(d1, a):
<TAB>d2 = (4 * (a**2) - d1**2)**0.5
<TAB>area = 0.5 * d1 * d2
<TAB>return(area)
"
write a python program to print the table of input integer	"

num = int(input(""Please enter a number ""))
for a in range(1, 11):
<TAB>print(num, 'x', a, '=', num * a)
"
80 By using list comprehension, write a program to print the list after removing the 0th,4th,5th numbers in [12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for (i, x) in enumerate(li) if i not in (0, 4, 5)]
print(li)
"
Please write a program to print Python built-in functions document of input()	"print(input.__doc__)
"
write a python program to print prime factors of user provided number	"

import math


def primeFactors(n):
<TAB>while n % 2 == 0:
        print(2),
        n = n / 2
<TAB>for i in range(3, int(math.sqrt(n)) + 1, 2):
        while n % i == 0:
            print(i),
            n = n / i
<TAB>if n > 2:
        print(n)
"
Write a function to merge dictionaries	"def merge1():
<TAB>test_list1 = [{""a"": 1, ""b"": 4}, {""c"": 10, ""d"": 15},
                  {""f"": ""gfg""}]
<TAB>test_list2 = [{""e"": 6}, {""f"": 3, ""fg"": 10, ""h"": 1},
                  {""i"": 10}]
<TAB>print(""The original list 1 is : "" + str(test_list1))
<TAB>print(""The original list 2 is : "" + str(test_list2))
<TAB>for idx in range(0, len(test_list1)):
        id_keys = list(test_list1[idx].keys())
        for key in test_list2[idx]:

            if key not in id_keys:
                test_list1[idx][key] = test_list2[idx][key]

<TAB>print(""The Merged Dictionary list : "" + str(test_list1))
"
55 string to tuple	"def sen_to_tuple(sen):
<TAB>return tuple(sen)
"
write a program Creating a Dictionary	"Dict = {1: 'Geeks', 'name': 'For', 3: 'Geeks'}


print(""Accessing a element using get:"")
print(Dict.get(3))
"
using cmath.polar() method	"num = cmath.polar(1)
print(num)
"
write a python list comprehension to print numbers in a given string	"string = ""Hello 12345 World""
numbers = [x for x in string if x.isdigit()]
print(numbers)
"
write a python program to check is an num/int	"print('11'.isnumeric())
"
write a python program to print the least frequent character in a string	"test_str = ""this is test string""
all_freq = {}
for i in test_str:
<TAB>if i in all_freq:
        all_freq[i] += 1
<TAB>else:
        all_freq[i] = 1
res = min(all_freq, key=all_freq.get)
print(res)
"
write a python program to print two sets intersection using operations like in mathematic	"

E = {0, 2, 4, 6, 8}
N = {1, 2, 3, 4, 5}


print(""Intersection of E and N is"", E & N)
"
write a program to print difference in between today and given date	"

import datetime
dd = int(input(""date: ""))
mm = int(input(""month: ""))
yy = int(input(""year: ""))
a = datetime.date(yy, mm, dd)
x = date.today()
print(x - a)
"
Write a Python Program to Convert Binary to Gray Code	"

def binary_to_gray(n):

<TAB>n = int(n, 2)
<TAB>n ^= (n >> 1)

<TAB>return bin(n)[2:]
"
write a python program that prints the sum of natural numbers up to a given number	"num = 16
sum = 0
while (num > 0):
<TAB>sum += num
<TAB>num -= 1
print(f'The sum is {sum}')
"
60 Write a function to return the the unique tokens from a string	"

def unique_tokens(st):
<TAB>return set(st)
"
41. python function for finding cosine angle	"def cosine(angle):
<TAB>

<TAB>return math.cos(angle)
"
write a python program that asks user to guess a number between 1 and 5 and guess it within 3 guesses	"print(""Please guess a number between 1 and 5 and I will guess within 3 chances!"")
guess1 = input(""Is it <= 3? enter y/n \n"")
if guess1 == ""y"":
<TAB>guess2 = input(""Is it <= 2? enter y/n \n"")
<TAB>if guess2 == ""y"":
        guess3 = input(""Is it 1? enter y/n \n"")
        if guess3 == ""y"":
            print(""Yay! found the number, its 1"")
        else:
            print(""Yay! found the number, its 2"")
<TAB>else:
        print(""Yay! found the number, its 3"")
else:
<TAB>guess2 = input(""Is it 4? enter y/n \n"")
<TAB>if guess2 == ""y"":
        print(""Yay! found the number, its 4"")
<TAB>else:
        print(""Yay! found the number, its 5"")
"
write a program to accept the strings which contains all vowels	"

str1 = ""__main__""
if len(set(str1).intersection(""AEIOUaeiou"")) >= 5:
<TAB>print('accepted')
else:
<TAB>print(""not accepted"")
"
write a program to print words frequncy in a given string	"

test_str = ""It is a great meal at a great restaurant on a great day""
print(""Original String: "" + str(test_str))
res = {key: test_str.count(key) for key in test_str.split()}
print(""The words frequency: "" + str(res))
"
53 write a python program that displays the key of list value with maximum range and print it	"

test_dict = {""Gfg"": [6, 2, 4, 1], ""is"": [4, 7, 3, 3, 8], ""Best"": [1, 0, 9, 3]}

max_res = 0
for sub, vals in test_dict.items():

<TAB>max_res = max(max_res, max(vals) - min(vals))
<TAB>if max_res == max(vals) - min(vals):
        res = sub
print(""The maximum element key : "" + str(res))
"
write a python program to print a random number between 0 and 1	"import random
print(random.uniform(0, 1))
"
Write a function to calculate volume of Square Pyramid	"def volumeSquare(b, h):
<TAB>return (0.33) * b * b * h
"
write a program to write a string in a file	"

filename = 'file1.txt'
string = ""programming in \n python""
f1 = open(filename, 'w')
f1.write(string)
f1.close()
"
Write a program to extract and print digits of a number in reverse order. The number is input from the user.	"

num = int(input(""Enter a number with multiple digit: ""))
n = 0
while num > 0:
<TAB>a = num % 10
<TAB>num = num - a
<TAB>num = num / 10
<TAB>print(int(a), end="""")
<TAB>n = n + 1
"
write a generator function in python to generate infinite square of numbers using yield	"def nextSquare():
<TAB>i = 1
<TAB>
<TAB>while True:
        yield i * i
        i += 1
"
Write a function to count the number of carry operations for each of a set of addition problems	"def carry_number(x, y):
<TAB>ctr = 0
<TAB>if(x == 0 and y == 0):
        return 0
<TAB>z = 0
<TAB>for i in reversed(range(10)):
        z = x % 10 + y % 10 + z
        if z > 9:
            z = 1
        else:
            z = 0
        ctr += z
        x //= 10
        y //= 10
<TAB>if ctr == 0:
        return ""No carry operation.""
<TAB>elif ctr == 1:
        return ctr
<TAB>else:
        return ctr
"
47. Python Program to Sort Words in Alphabetic Order	"
my_str = ""Hello this Is an Example With cased letters""
words = [word.lower() for word in my_str.split()]
words.sort()

print(""The sorted words are:"")
for word in words:
<TAB>print(word)
"
Write a program which can map() and filter() to make a list whose elements are square of even number in [1,2,3,4,5,6,7,8,9,10] and print it	"li = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
evenNumbers = map(lambda x: x**2, filter(lambda x: x % 2 == 0, li))
print(evenNumbers)
"
Write a function to calculate the pressure P of ideal gas based on ideal gas equation - Volume V, and Temperatue T are given	"def find_pressure_of_ideal_gas(volume: float, temp: float, n: float) -> float:
<TAB>r = 8.3145
<TAB>return (n * r * temp) / volume
"
Write a Python function to print the GSD of Two Numbers	"

def gcd(a, b):
<TAB>if(b == 0):
        return a
<TAB>else:
        return gcd(b, a % b)
"
5. python function to strip vowels from a string	"def strip_vowel_str(str):
<TAB>vowels = ['a', 'e', 'i', 'o', 'u']
<TAB>return """".join([x for x in str if x not in vowels])
"
write a Python function to Find HCF of two numbers	"def hcf(x, y):
<TAB>if x > y:
        smaller = y
<TAB>else:
        smaller = x
<TAB>for i in range(1, smaller + 1):
        if((x % i == 0) and (y % i == 0)):
            hcf = i
<TAB>return hcf
"
write a python program which takes input a string and print reverse string	"name = input(""Enter String"")
print(name[::-1])
"
